Year,Quarter,cityname,origin,TOT_CountofMkts,TOT_FaredPax,TOT_PctLFMkts,TOT_AvgHubFare,TOT_PctPremium,SH_CountofMkts,SH_FaredPax,SH_PctLFMkts,SH_AvgHubFare,SH_PctPremium,LH_CountofMkts,LH_FaredPax,LH_PctLFMkts,LH_AvgHubFare,LH_PctPremium
2008,2,"Omaha, Nebraska",OMA,79,927070,0.6901420605,186.51089087,-4.199453268,23,326750,0.6396633512,162.3104205,-5.051817478,56,600320,0.7176172708,199.68303855,-3.817444905
2008,2,"Ontario, California",ONT,73,1307620,0.8569003227,159.47456883,-6.694395989,13,677640,0.9831916652,105.28068178,-16.97059148,60,629980,0.7210546367,217.76839662,-0.276004697
2008,2,"Chicago, Illinois",ORD,170,6770030,0.0538446654,197.61660504,13.755801798,80,3202860,0.0292925698,187.78430181,20.216565303,90,3567170,0.0758892904,206.44474911,8.9727294644
2008,2,"Norfolk, Virginia",ORF,81,744620,0.6545486288,202.46581612,-1.77669334,38,401380,0.6330410085,170.38478499,-7.803338157,43,343240,0.6796993357,239.98092006,3.8599484271
2008,2,"West Palm Beach, Florida",PBI,79,1330230,0.8119723657,169.5101926,-8.064929666,10,119840,0.9342456609,167.50546479,3.971815616,69,1210390,0.7998661588,169.70867952,-9.093396458
2008,2,"Portland, Oregon",PDX,123,2455920,0.6900957686,183.13614275,-5.034142404,26,755140,0.7203697328,119.61663692,-16.8483705,97,1700780,0.676654241,211.3385673,-1.517855959
2008,2,"Newport News/Wmsburg, Virginia",PHF,29,208340,0.9698089661,153.47550254,-16.15351322,12,141820,0.9677760542,132.70164857,-19.13453842,17,66520,0.9741431149,197.76515935,-11.48553749
2008,2,"Philadelphia, Pennsylvania",PHL,129,4127300,0.6447604972,187.41055765,-0.738264475,55,1642300,0.5309748523,175.15869823,14.140512511,74,2485000,0.7199597586,195.50763159,-7.850627147
2008,2,"Phoenix, Arizona",PHX,155,5291110,0.8225684214,168.53418502,-8.93460995,31,2081890,0.9604926293,118.25582014,-11.14377033,124,3209220,0.7330940228,201.15084111,-8.062865303
2008,2,"Peoria, Illinois",PIA,24,84920,0,175.14172515,-16.86602756,8,20480,0,222.53170898,17.766489417,16,64440,0,160.08047641,-26.42518201
2008,2,"St. Petersburg, Florida",PIE,24,225410,0.0144181713,105.15635819,-41.60082893,6,62080,0,76.227653028,-58.53024473,18,163330,0.0198983653,116.15185208,-34.97970714
2008,2,"Pittsburgh, Pennsylvania",PIT,100,1752350,0.6208348789,173.67178092,-3.785402791,49,845090,0.5991077873,159.24762771,3.3835841231,51,907260,0.6410731213,187.1075189,-8.799101704
